member_id,gender,username,first_name,last_name,birthday,branch_id
MEM0000034,Female,williamsamanda,Fan,Chen,2005-07-19,GY726111
MEM0000035,Female,monroesteven,Lin,Zhuang,1984-11-24,GY617968
MEM0000036,Male,castillojessica,Chang,Ceng,1981-03-13,GY813504
MEM0000037,Male,hullandrea,Xue Mei,Ceng,1978-11-03,GY481290
MEM0000038,Male,colemichelle,Yu,Xie,1969-06-18,GY609976
MEM0000039,Male,gtorres,Dong Mei,Wang,1984-07-29,GY267467
MEM0000040,Male,brandi70,Kai,Li,1980-11-10,GY899684
MEM0000041,Male,fhenderson,Lu,Qiu,1961-01-13,GY239835
MEM0000042,Female,christopherryan,Li,Su,1996-06-10,GY401799
MEM0000043,Female,daniellehowell,Jin Feng,Li,1968-05-15,GY873460
MEM0000044,Female,floreskathryn,Ping,Zhang,1997-02-23,GY708760
MEM0000045,Female,bradleysnyder,Wen,Lei,1962-05-31,GY417368
MEM0000046,Male,shawandrea,Shu Hua,Liu,2003-05-20,GY016663
MEM0000047,Female,hernandezaaron,Dan,Liu,2003-09-03,GY583406
MEM0000048,Female,ylong,Lu,Liang,1980-11-23,GY981013
MEM0000049,Female,santosangela,Cheng,Wu,1960-09-20,GY265053
MEM0000050,Female,ohernandez,Xin,Zhou,1972-03-28,GY514371
MEM0000051,Female,larry49,Li Juan,Qin,1987-12-03,GY761622
MEM0000052,Male,gordonjay,Shu Hua,Feng,1994-04-30,GY584314
MEM0000053,Male,nleonard,Fei,Lu,1999-11-13,GY777965
MEM0000054,Female,xferguson,Jia,Yao,1997-02-19,GY321824
MEM0000055,Female,jenniferhawkins,Dong,Guo,1999-07-08,GY698390
MEM0000056,Male,greenphillip,Bo,Chen,1998-01-05,GY748768
MEM0000057,Male,vincent22,Liang,Tian,1989-09-20,GY642961
MEM0000058,Male,moorethomas,Jun,Du,1992-12-08,GY557894
MEM0000059,Female,johnwhite,Feng Lan,Jiang,1972-05-27,GY675960
MEM0000060,Male,patrick40,Fan,Sun,1982-03-26,GY321824
MEM0000061,Male,wsanchez,Gui Zhen,Liu,1980-03-27,GY610057
MEM0000062,Female,ronaldzuniga,Xu,Zou,1983-08-28,GY948649
MEM0000063,Male,garciaerik,Gui Zhi,Zhu,1985-05-08,GY931396
MEM0000064,Female,crystal71,Xu,Yang,1968-12-08,GY789441
MEM0000065,Male,jenniferhall,Cheng,Wang,1971-07-17,GY036284
MEM0000066,Male,pedwards,Gui Lan,Peng,1964-11-05,GY036284
MEM0000067,Male,dyang,Shu Zhen,Yu,1972-11-15,GY232549
MEM0000068,Female,shannon26,Kai,Hu,1977-05-07,GY975507
MEM0000069,Male,ibishop,Gui Zhi,Yuan,1997-02-08,GY847791
MEM0000070,Male,mosleyjohn,Jun,Quan,1975-05-20,GY687446
MEM0000071,Male,tallen,Yun,Chai,1976-01-24,GY576374
MEM0000072,Male,turnerbreanna,Xu,Li,1982-08-04,GY648349
MEM0000073,Male,russelljoshua,Liu,Fan,1981-05-25,GY581986
MEM0000074,Male,englishjoshua,Peng,Liu,1986-01-31,GY710078
MEM0000075,Male,crice,Li,Zhang,1964-01-14,GY628158
MEM0000076,Male,amytran,Yang,Xu,1977-02-09,GY701267
MEM0000077,Male,rharris,Jian Hua,Xu,1980-04-26,GY609396
MEM0000078,Male,zlarson,Yu,Zhao,1975-03-21,GY794867
MEM0000079,Male,eddie11,Hong Xia,Gu,1991-09-05,GY444024
MEM0000080,Female,tiffany74,Feng,Lei,1994-09-19,GY564374
MEM0000081,Female,blong,Xiang,Qu,1974-07-14,GY016663
MEM0000082,Male,christopherbrewer,Min,Chen,2003-06-27,GY600026
MEM0000083,Female,franksullivan,Bo,Zhao,1991-03-16,GY862758
MEM0000084,Male,judypotts,Xiao Hong,Liu,2002-11-28,GY628158
MEM0000085,Male,brittanyweaver,Xin,Zheng,1999-11-22,GY450083
MEM0000086,Male,itrujillo,Rong,Lu,1970-09-20,GY452640
MEM0000087,Male,andrew74,Shuai,Wang,1960-04-21,GY687446
MEM0000088,Female,crystalwong,Hua,Xu,1983-07-31,GY906280
MEM0000089,Female,robin92,Shu Zhen,Yang,1984-05-03,GY254756
MEM0000090,Male,pperez,Qin,Xu,1997-01-02,GY496637
MEM0000091,Male,stewartbrian,Zhi Qiang,Ni,1990-10-29,GY748681
MEM0000092,Male,lindsaywilson,Lin,Xia,1971-03-07,GY463586
MEM0000093,Male,uwong,Xiu Mei,Cheng,1991-01-09,GY995705
MEM0000094,Male,adamsstephanie,Xiu Mei,Xue,1989-04-27,GY984970
MEM0000095,Male,emilysmith,Chang,Yang,1975-07-28,GY293056
MEM0000096,Female,mcdonaldbrenda,Liu,Cai,2004-11-04,GY725291
MEM0000097,Female,rhonda80,Jian Jun,Cui,1974-04-28,GY496637
MEM0000098,Male,jessemcdonald,Ping,Wang,1963-01-30,GY603473
MEM0000099,Female,alicia71,Jing,Tu,1965-04-29,GY454455
MEM0000100,Female,jessica08,Bin,Zhang,1973-07-29,GY337150
MEM0000101,Male,allenzachary,Qian,Zhang,2002-09-14,GY097232
MEM0000102,Male,fmedina,Peng,Ai,1990-03-28,GY802319
MEM0000103,Female,maynathan,Xiang,Li,1981-09-09,GY118765
MEM0000104,Male,james13,Gui Rong,Huang,1983-09-12,GY217212
MEM0000105,Male,thompsonchad,Bo,Lu,1970-02-14,GY052296
MEM0000106,Female,wallaceheather,Wei,Liu,1961-07-10,GY617100
MEM0000107,Female,ldrake,Liang,Zhen,1985-09-23,GY836927
MEM0000108,Female,macdonaldedward,Yun,He,1995-03-06,GY784130
MEM0000109,Male,carolynmoon,Qiang,Tan,1963-02-04,GY206759
MEM0000110,Male,johnstonandrew,Yan,Li,1962-11-14,GY269076
MEM0000111,Female,khale,Qiang,Chen,1965-10-02,GY121520
MEM0000112,Male,xpeterson,Juan,Tian,2001-09-16,GY576374
MEM0000113,Male,megan80,Liang,Chen,1990-11-08,GY962403
MEM0000114,Female,diazrobin,Xin,Xue,2005-03-05,GY135043
MEM0000115,Male,crystalcarroll,Mei,Gu,1988-08-24,GY935813
MEM0000116,Male,samantha77,Chen,Pan,1988-12-30,GY617100
MEM0000117,Male,maynardronald,Gui Hua,Zhang,1961-12-06,GY072878
MEM0000118,Male,fmurphy,Chao,Zhang,1992-07-19,GY338994
MEM0000119,Male,vickilewis,Ying,Lv,2005-07-03,GY718818
MEM0000120,Female,jenniferrhodes,Rui,Shi,1974-09-15,GY677957
MEM0000121,Male,kristen65,Yu,Wang,1984-03-13,GY101512
MEM0000122,Female,kempchristina,Liu,Yang,1979-03-05,GY481290
MEM0000123,Male,susanturner,Xia,Tang,1999-11-22,GY318828
MEM0000124,Female,ccross,Jie,Wu,1987-10-17,GY531002
MEM0000125,Female,fsoto,Shu Zhen,Xie,1984-08-13,GY130338
MEM0000126,Female,amanda06,Shu Zhen,Li,1974-06-05,GY351669
MEM0000127,Male,marktownsend,Ting,Qiu,1980-04-26,GY647065
MEM0000128,Male,valdezlogan,Yu,Chen,1972-02-14,GY738383
MEM0000129,Female,janicewilson,Bo,Ma,1962-12-01,GY185946
MEM0000130,Male,sheamichele,Fei,Liu,1960-11-26,GY782711
MEM0000131,Male,lindsey53,Bin,Wei,1991-09-21,GY617100
MEM0000132,Male,tiffany77,Na,Wu,1993-05-04,GY298189
MEM0000133,Male,nathan12,Xiu Yun,Qian,1996-07-15,GY711569
MEM0000134,Female,linda42,Xin,Chen,1978-08-12,GY484509
MEM0000135,Female,hallcarrie,Xin,Luo,2002-12-18,GY117524
MEM0000136,Male,sarahberg,Chao,Niu,1962-12-19,GY627554
MEM0000137,Male,zpineda,Bin,Lu,1971-08-04,GY696367
MEM0000138,Male,katherineelliott,Lei,Zhou,1966-03-29,GY634641
MEM0000139,Female,coreyedwards,Ying,Tan,1961-03-26,GY238335
MEM0000140,Male,frank23,Fei,Chen,1994-12-06,GY293056
MEM0000141,Male,dhull,Ning,You,1972-07-26,GY762007
MEM0000142,Female,michaelgonzales,Yu Zhen,Liu,1969-02-16,GY336399
MEM0000143,Male,gabrielle52,Ping,Yang,1977-06-06,GY581745
MEM0000144,Male,newmanamber,Li Li,Tang,2003-12-15,GY989437
MEM0000145,Female,brandon48,Peng,Huang,1991-01-06,GY780316
MEM0000146,Female,christie11,Qian,Ran,2006-01-12,GY725291
MEM0000147,Female,mfernandez,Yong,Zhang,1963-09-21,GY834090
MEM0000148,Male,carpenterdavid,Chun Mei,Su,1987-08-15,GY507004
MEM0000149,Male,uacosta,Bin,Chen,1963-04-11,GY345111
MEM0000150,Male,christian31,Wen,Lin,1973-03-04,GY404798
MEM0000151,Female,hoopermax,Qian,Lu,1962-05-05,GY121651
MEM0000152,Female,ypruitt,Fan,Xu,1975-07-20,GY118273
MEM0000153,Female,katrina63,Lin,Zhang,1963-12-14,GY927923
MEM0000154,Female,carolyn73,Chun Mei,Huang,1974-05-20,GY044629
MEM0000155,Female,smithgary,Huan,Wang,2002-09-22,GY750181
MEM0000156,Female,romerodouglas,Hao,Ji,1985-06-06,GY287631
MEM0000157,Male,garciaroy,Hui,Ma,1966-02-26,GY225239
MEM0000158,Male,brucebrandi,Xiu Ying,Tang,1979-11-03,GY292346
MEM0000159,Female,amyfields,Gui Fang,Tian,1991-12-26,GY404798
MEM0000160,Male,etaylor,Xiu Yun,Xie,1982-07-26,GY723888
MEM0000161,Female,josecastaneda,Juan,Wang,2001-03-20,GY975507
MEM0000162,Female,aaronjohnson,Li Hua,Yu,1971-11-14,GY537293
MEM0000163,Male,jeremybates,Huan,Zhang,1974-07-23,GY135604
MEM0000164,Male,bwolfe,Shu Lan,Zhang,1963-08-19,GY142942
MEM0000165,Male,sarah56,Ying,Fan,1978-05-10,GY588129
MEM0000166,Male,hhughes,Jie,Zhou,1964-02-14,GY272141
MEM0000167,Female,vincentbrown,Xia,Zhou,1963-01-14,GY617968
MEM0000168,Male,dbailey,Zhi Qiang,Liang,1969-09-16,GY240366
MEM0000169,Male,hollandandrew,Xiu Lan,Li,2007-03-28,GY730835
MEM0000170,Male,daniellemaldonado,Yong,Pan,1976-04-09,GY911166
MEM0000171,Female,andrewsjoseph,Cheng,Chen,2001-12-14,GY674675
MEM0000172,Female,grahamcarrie,Peng,Zhan,1987-03-12,GY434067
MEM0000173,Female,emccoy,Ying,Tian,1991-09-07,GY031092
MEM0000174,Female,fjimenez,Xiu Mei,Zhang,1993-08-29,GY927923
MEM0000175,Female,scottbell,Ning,Mou,1988-12-22,GY954226
MEM0000176,Male,jatkins,Shu Zhen,Jin,2002-10-26,GY349088
MEM0000177,Female,gonzalezrobert,Li,Li,1992-08-24,GY246954
MEM0000178,Female,stephensanders,Yu Ying,Li,1969-09-14,GY013037
MEM0000179,Male,brian48,Bin,Han,1986-03-09,GY401799
MEM0000180,Male,christopher40,Gui Lan,Jiang,1964-05-01,GY173787
MEM0000181,Female,obennett,Lin,Liu,1999-05-27,GY812001
MEM0000182,Female,taylordiana,Xiu Mei,Liu,1973-06-15,GY458464
MEM0000183,Male,melissacollins,Li Juan,Wu,1982-10-19,GY802309
MEM0000184,Female,powellmelinda,Hui,Jiang,1972-03-20,GY984970
MEM0000185,Male,johnsonmichelle,Chang,Duan,1986-03-30,GY404798
MEM0000186,Female,ddaniels,Gui Ying,Xu,1997-09-30,GY362156
MEM0000187,Male,gallen,Xiu Ying,Pan,1998-09-03,GY762007
MEM0000188,Female,xrichards,Yu Zhen,Qian,1982-01-18,GY160132
MEM0000189,Female,kimberly03,Yu,Wang,1970-06-26,GY237515
MEM0000190,Male,clifford87,Yan,Cheng,2004-06-22,GY026599
MEM0000191,Female,tgeorge,Shu Lan,Kang,1989-09-15,GY362156
MEM0000192,Female,john09,Jin Feng,Wang,1980-09-02,GY161407
MEM0000193,Female,paul05,Wei,Zhang,1989-10-22,GY861779
MEM0000194,Male,whiteandrea,Xue Mei,Wang,1983-06-26,GY105358
MEM0000195,Male,vburton,Liang,Duan,1988-07-12,GY281434
MEM0000196,Female,jenny86,Xue Mei,Xiong,1989-10-23,GY073310
MEM0000197,Male,caitlingarner,Lei,Wu,1989-12-06,GY007720
MEM0000198,Male,twallace,Chang,Shen,1999-10-03,GY160132
MEM0000199,Male,joycecampos,Jian Ping,Wang,1989-04-17,GY839261
MEM0000200,Female,luis67,Jian Jun,Li,1985-09-05,GY529872
MEM0000201,Male,kclark,Ling,Wang,1988-03-20,GY762007
MEM0000202,Female,tonyacarlson,Ying,Lei,1982-04-01,GY130338
MEM0000203,Male,riosashley,Yan,Zan,1986-05-02,GY439927
MEM0000204,Female,melissashepherd,Jia,Yuan,1996-01-26,GY698479
MEM0000205,Male,dmueller,Lu,Li,1969-05-31,GY517505
MEM0000206,Female,barneschris,Li,Xiang,1971-10-31,GY733568
MEM0000207,Male,amber54,Xiu Zhen,Fang,2005-10-18,GY499525
MEM0000208,Female,proberts,Ning,Li,2000-01-16,GY299390
MEM0000209,Male,carremily,Yang,Wang,1998-12-29,GY748768
MEM0000210,Female,edwinhughes,Qin,Qiu,1997-03-09,GY234513
MEM0000211,Male,flynnjohn,Ming,Ji,1980-07-31,GY119246
MEM0000212,Male,vincentmiller,Xue,Man,1963-05-10,GY335761
MEM0000213,Female,robertosmith,Dong,Chen,1984-02-27,GY156218
MEM0000214,Male,susantanner,Jian Guo,Xiong,1961-10-02,GY669274
MEM0000215,Female,hernandezashley,Gui Ying,Zhu,2001-02-28,GY211110
MEM0000216,Female,keithlewis,Lei,Li,1980-10-25,GY581906
MEM0000217,Female,kathrynaguilar,Shu Lan,Wan,1963-09-02,GY819261
MEM0000218,Female,robinsonpeter,Bin,Zhang,1976-10-04,GY336399
MEM0000219,Male,ann77,Shu Zhen,Liu,1977-07-07,GY351669
MEM0000220,Male,vickilee,Lei,Li,1964-11-07,GY708981
MEM0000221,Male,donald82,Yun,Hou,1992-05-05,GY459230
MEM0000222,Male,edwardsjoshua,Xiao Hong,Bai,1989-03-21,GY276495
MEM0000223,Male,jillbenton,Gui Fang,Wen,1970-03-13,GY135043
MEM0000224,Male,bdavis,Hai Yan,Wu,1983-05-19,GY674675
MEM0000225,Male,andrew13,Na,Zhang,1980-11-03,GY842441
MEM0000226,Male,linda64,Yan,Han,1968-02-05,GY022182
MEM0000227,Male,maxwellbernard,Bing,Luo,1980-11-23,GY142942
MEM0000228,Male,nathan30,Li Hua,Ye,2007-02-24,GY293320
MEM0000229,Female,alexander31,Dong,Zhou,1995-10-16,GY729889
MEM0000230,Female,cjackson,Gui Rong,Zheng,1993-09-12,GY642904
MEM0000231,Female,warrenelaine,Gui Rong,Shi,1973-11-29,GY379382
MEM0000232,Female,zcalhoun,Xin,Zhang,1983-09-06,GY343882
MEM0000233,Male,shawchristy,Xiao Hong,Zhang,1973-09-21,GY650498
MEM0000234,Male,kennedyjason,Shu Hua,Xu,1985-10-26,GY699867
MEM0000235,Male,matthew70,Hong Mei,Pan,1968-07-12,GY922453
MEM0000236,Male,romerotracy,Shu Hua,Liu,1970-07-18,GY731037
MEM0000237,Male,zhuff,Zhi Qiang,He,1988-06-09,GY293350
MEM0000238,Male,erika97,Feng,Fu,1978-04-02,GY337150
MEM0000239,Male,qhoffman,Jian Ping,Cha,1980-07-17,GY499956
MEM0000240,Male,williamcook,Gui Xiang,Zheng,1997-01-11,GY759217
MEM0000241,Female,pgomez,Chang,Hong,1965-09-07,GY211110
MEM0000242,Female,mallen,Huan,Zhang,2000-09-30,GY819531
MEM0000243,Female,taylor35,Jian Guo,Huang,1973-06-25,GY910127
MEM0000244,Male,murphymarissa,Peng,Deng,1963-01-28,GY962403
MEM0000245,Male,nlee,Shuai,Pan,1989-07-06,GY803055
MEM0000246,Male,wrose,Qian,Cheng,1983-06-09,GY099172
MEM0000247,Male,devinchase,Zhi Qiang,Wang,1980-11-25,GY392017
MEM0000248,Female,webstermiranda,Xiu Lan,Lan,1975-01-05,GY935813
MEM0000249,Male,ljenkins,Lin,Tan,2002-01-27,GY412567
MEM0000250,Female,elizabeth49,Lu,Zhang,1974-09-07,GY263575
MEM0000251,Male,tfox,Jian Hua,Jiang,1999-09-03,GY554043
MEM0000252,Male,christopher75,Liang,Lai,1975-07-31,GY827200
MEM0000253,Female,aguirrecrystal,Ning,Liu,1997-06-24,GY338994
MEM0000254,Male,ginamartinez,Feng Lan,Cheng,1970-04-21,GY336399
MEM0000255,Female,nealnatalie,Yu,Zhang,1998-09-29,GY712374
MEM0000256,Female,lindsayhorne,Yang,Zhong,1977-11-19,GY468688
MEM0000257,Male,xpark,Feng Lan,Zhang,1960-09-05,GY072878
MEM0000258,Female,michaelreynolds,Min,Gong,1974-09-26,GY581306
MEM0000259,Male,scarr,Li Li,Xiao,1969-12-13,GY698479
MEM0000260,Male,george96,Yang,Xiao,1969-10-17,GY026599
MEM0000261,Male,zlee,Jian,Ma,1996-08-11,GY989437
MEM0000262,Male,jeffreyharris,Gui Ying,Chen,1966-06-24,GY232549
MEM0000263,Female,fullerseth,Xin,Wang,1966-04-21,GY321824
MEM0000264,Male,bensonamber,Jie,Chen,2005-07-11,GY541992
MEM0000265,Female,jeffrey87,Cheng,Yin,1975-04-29,GY211110
MEM0000266,Female,norrisnorman,Li,Liao,1998-10-29,GY112881
MEM0000267,Female,nicolesmith,Xin,Shi,1994-06-16,GY715832
MEM0000268,Male,vgreen,Qian,Liu,1970-10-05,GY121520
MEM0000269,Female,jamesbowman,Xiu Fang,Fan,2004-04-02,GY234853
MEM0000270,Female,jeffrey11,Li,Chu,1989-01-29,GY729889
MEM0000271,Male,johnabbott,Fan,Wang,1964-11-13,GY375135
MEM0000272,Female,glensanchez,Dong,Xu,1982-04-18,GY869373
MEM0000273,Female,jdavila,Xiu Hua,Zhao,1974-12-11,GY049953
MEM0000274,Female,bcannon,Fei,Qiu,1968-09-16,GY918425
MEM0000275,Male,ortizfelicia,Lei,Liu,1984-09-19,GY496637
MEM0000276,Male,yramos,Lei,Xiang,1985-03-06,GY717821
MEM0000277,Female,jared91,Bo,Lin,1966-11-30,GY870819
MEM0000278,Male,kristen13,Yu Hua,Wang,1987-03-28,GY509970
MEM0000279,Female,wrightsabrina,Yu Ying,Pei,1973-03-24,GY784130
MEM0000280,Male,jeremy78,Jun,Sun,1976-12-14,GY607076
MEM0000281,Male,ymoore,Hao,Chen,1988-12-02,GY778117
MEM0000282,Male,kimberly85,Min,Li,1975-01-17,GY699579
MEM0000283,Male,garyterry,Xiu Ying,Huang,1977-10-01,GY126731
MEM0000284,Female,jennifercook,Yun,Cheng,2000-05-06,GY918423
MEM0000285,Male,elizabethlopez,Jian Guo,Wei,1999-02-21,GY729889
MEM0000286,Male,moorerobin,Yang,Luo,1965-02-10,GY903316
MEM0000287,Female,justin07,Li Li,Di,1961-05-15,GY927923
MEM0000288,Male,hullroger,Xiao Hong,Zhang,1964-08-14,GY293056
MEM0000289,Male,aguilaraaron,Jian,Xu,2007-03-07,GY725309
MEM0000290,Female,debra58,Xiu Yun,Jiang,1982-12-12,GY557894
MEM0000291,Male,rhondasmith,Yan,Liang,2000-11-28,GY126731
MEM0000292,Male,michaelsmith,Fang,Chen,1986-06-29,GY178554
MEM0000293,Female,paulhunt,Bin,Huang,1979-08-10,GY527930
MEM0000294,Female,petersonedward,Ying,Li,1961-05-18,GY005024
MEM0000295,Male,pamelawatson,Lu,Li,1987-03-12,GY431129
MEM0000296,Female,parrishjeremy,Jing,Zhang,2004-06-27,GY238335
MEM0000297,Female,christopherlutz,Qiang,Ye,1990-10-12,GY293130
MEM0000298,Female,steveaustin,Yu Ying,Wang,2007-01-03,GY451678
MEM0000299,Male,adamdavid,Shu Hua,Sun,1989-04-11,GY906112
MEM0000300,Female,jason00,Xiu Lan,Chen,1998-02-11,GY581906
MEM0000301,Male,leemonique,Gui Zhen,Li,1976-02-14,GY803055
MEM0000302,Male,williambrown,Feng,Fan,1964-06-11,GY345111
MEM0000303,Male,gvazquez,Yong,Zhang,1967-09-25,GY984970
MEM0000304,Female,kimberly54,Lu,Li,2004-02-13,GY966049
MEM0000305,Female,matthew95,Dong Mei,Zhao,1991-03-02,GY044629
MEM0000306,Female,lopezkaren,Zhi Qiang,Zhang,1999-12-06,GY075553
MEM0000307,Female,pkline,Yang,Xu,1984-04-11,GY910127
MEM0000308,Female,uperez,Xiu Ying,Xia,1968-02-14,GY708760
MEM0000309,Male,christian66,Yu,Huang,1965-11-21,GY712374
MEM0000310,Female,bentleyrichard,Jian,Ma,1960-05-30,GY506258
MEM0000311,Male,ricky99,Li Juan,Gan,1977-03-04,GY150157
MEM0000312,Female,nguyencraig,Cheng,Sheng,1995-01-01,GY332109
MEM0000313,Male,jose38,Feng,Xu,2005-03-09,GY588562
MEM0000314,Female,carlos02,Lin,Chen,1962-07-18,GY246954
MEM0000315,Male,jessica09,Ting Ting,Chen,1979-09-28,GY749020
MEM0000316,Male,garciamary,Gui Hua,Li,1973-12-09,GY163937
MEM0000317,Male,leonardkaitlyn,Xue,Feng,1990-12-27,GY552271
MEM0000318,Female,carneyanna,Bo,Wang,1974-03-24,GY075553
MEM0000319,Male,monroechristina,Hai Yan,Chen,2001-10-11,GY232549
MEM0000320,Male,brianwalker,Qiang,Xiong,2001-11-27,GY557894
MEM0000321,Male,cburke,Feng Ying,Wang,2001-01-31,GY385938
MEM0000322,Male,campbellmatthew,Li,Wu,1961-03-10,GY160132
MEM0000323,Female,rodgersbrooke,Li Juan,Wang,1982-08-18,GY150157
MEM0000324,Male,smithhannah,Xiao Hong,Zheng,1998-06-25,GY336969
MEM0000325,Female,kevin44,Ying,Fan,1986-01-26,GY723266
MEM0000326,Male,kbarnett,Jing,Zhang,1994-04-07,GY219584
MEM0000327,Male,lchapman,Hao,Chen,1970-05-07,GY101512
MEM0000328,Female,dillonclarke,Jian Hua,Ye,1983-05-12,GY736462
MEM0000329,Female,mtrujillo,Xu,Li,1973-06-28,GY652227
MEM0000330,Male,millertravis,Wen,Miao,1997-09-07,GY588203
MEM0000331,Male,swalker,Xiao Hong,Tang,2003-03-07,GY439934
MEM0000332,Male,mario71,Hai Yan,Du,1979-12-11,GY232549
MEM0000333,Male,pettyangela,Tao,Li,1985-06-29,GY073310
MEM0000334,Female,kristen90,Hua,Luo,2004-02-04,GY118273
MEM0000335,Female,misty76,Jing,Li,1978-01-02,GY588562
MEM0000336,Female,nicholas58,Li,Wang,1990-02-05,GY963870
MEM0000337,Male,john53,Gui Rong,Tang,1985-11-01,GY604870
MEM0000338,Male,baileylisa,Yang,Shi,1984-05-19,GY780306
MEM0000339,Female,warnerjennifer,Gui Zhen,Zhan,1991-10-16,GY301203
MEM0000340,Female,stacy45,Jia,Bo,1984-10-27,GY813504
MEM0000341,Male,ryan25,Jian,Zhou,1993-10-12,GY327715
MEM0000342,Female,jenniferthompson,Gui Xiang,Wu,1997-10-26,GY126766
MEM0000343,Male,rebeccawilson,Li Hua,Yan,1982-03-14,GY273911
MEM0000344,Female,juliebowers,Hai Yan,Xie,2005-12-12,GY725291
MEM0000345,Female,samuel90,Fei,Gu,1984-05-05,GY748681
MEM0000346,Female,panderson,Gui Fang,Li,1969-10-07,GY375135
MEM0000347,Female,claudiamonroe,Yang,Huang,1979-05-03,GY163764
MEM0000348,Male,raymondfranklin,Zhi Qiang,Meng,1986-03-03,GY119246
MEM0000349,Male,torreskristi,Chun Mei,Kang,1995-03-03,GY927923
MEM0000350,Female,lisaclements,Xiu Hua,Huang,1984-08-10,GY054353
MEM0000351,Female,eanderson,Ling,Li,1967-04-09,GY431129
MEM0000352,Female,ashley48,Gui Zhen,Luo,2005-02-24,GY412567
MEM0000353,Female,wbaker,Feng Ying,Bai,2001-02-17,GY408962
MEM0000354,Male,harmonjennifer,Wen,Tang,1981-01-27,GY121520
MEM0000355,Female,asoto,Huan,Li,1967-09-19,GY583406
MEM0000356,Female,ferrellmatthew,Yan,Wang,2003-12-16,GY609976
MEM0000357,Male,garyjones,Jian Hua,Zheng,1995-05-16,GY507004
MEM0000358,Female,williamalvarez,Qian,Zheng,1986-08-24,GY048981
MEM0000359,Female,aford,Yan,Guo,1963-02-22,GY725291
MEM0000360,Male,ycox,Jian Ping,Zhuang,1995-09-08,GY667437
MEM0000361,Female,walkerjim,Jun,Xian,1977-05-19,GY072878
MEM0000362,Female,deborah78,Kai,Zhang,1990-07-06,GY029113
MEM0000363,Male,jsmith,Li Li,Zhang,1989-06-10,GY404798
MEM0000364,Female,wphelps,Peng,Chu,1970-12-24,GY860050
MEM0000365,Female,nicole22,Min,Chang,1971-07-23,GY454455
MEM0000366,Female,wilcoxanthony,Huan,Zhang,1982-02-27,GY581986
MEM0000367,Female,marissamarshall,Cheng,Chen,1965-03-23,GY385938
MEM0000368,Male,shawnrichardson,Min,Lu,1991-01-25,GY529872
MEM0000369,Male,edwardsbryan,Rui,Duan,1997-03-26,GY396267
MEM0000370,Male,andrea29,Hong,Yao,1995-02-13,GY910360
MEM0000371,Male,cooleymatthew,Yu Ying,Liu,1981-07-13,GY609976
MEM0000372,Female,zimmermanloretta,Ping,Jiang,2002-02-12,GY163764
MEM0000373,Male,wblack,Li,Li,1980-03-02,GY860050
MEM0000374,Male,craigroberson,Gang,Yang,1973-12-11,GY468688
MEM0000375,Male,terrance74,Hai Yan,Wang,2004-09-13,GY738417
